# x86 instruction set description version 0.2, 2023-07-17
# Based on Intel Instruction Set Reference #325383-080US, June 2023.
# https://golang.org/x/arch/x86/x86spec
"BTR r/m16, r16","BTRW r16, r/m16","btrw r16, r/m16","0F B3 /r","V","V","","operand16","","Y","16"
"BTR r/m32, imm8","BTRL imm8, r/m32","btrl imm8, r/m32","0F BA /6 ib","V","V","","operand32","","Y","32"
"BTR r/m32, r32","BTRL r32, r/m32","btrl r32, r/m32","0F B3 /r","V","V","","operand32","","Y","32"
"BTR r/m64, imm8","BTRQ imm8, r/m64","btrq imm8, r/m64","REX.W 0F BA /6 ib","N.E.","V","","","","Y","64"
"BTR r/m64, r64","BTRQ r64, r/m64","btrq r64, r/m64","REX.W 0F B3 /r","N.E.","V","","","","Y","64"
"BTS r/m16, imm8","BTSW imm8, r/m16","btsw imm8, r/m16","0F BA /5 ib","V","V","","operand16","","Y","16"
"BTS r/m16, r16","BTSW r16, r/m16","btsw r16, r/m16","0F AB /r","V","V","","operand16","","Y","16"
"BTS r/m32, imm8","BTSL imm8, r/m32","btsl imm8, r/m32","0F BA /5 ib","V","V","","operand32","","Y","32"
"BTS r/m32, r32","BTSL r32, r/m32","btsl r32, r/m32","0F AB /r","V","V","","operand32","","Y","32"
"BTS r/m64, imm8","BTSQ imm8, r/m64","btsq imm8, r/m64","REX.W 0F BA /5 ib","N.E.","V","","","","Y","64"
"BTS r/m64, r64","BTSQ r64, r/m64","btsq r64, r/m64","REX.W 0F AB /r","N.E.","V","","","","Y","64"
"BZHI r32a, r/m32, r32b","BZHIL r32b, r/m32, r32a","bzhil r32b, r/m32, r32a","VEX.LZ.0F38.W0 F5 /r","V","V","BMI2","","","Y","32"
"BZHI r64a, r/m64, r64b","BZHIQ r64b, r/m64, r64a","bzhiq r64b, r/m64, r64a","VEX.LZ.0F38.W1 F5 /r","N.E.","V","BMI2","","","Y","64"
"CALL r/m16","CALLW* r/m16","callw* r/m16","FF /2","V","N.E.","","operand16","","Y","16"
"CALL r/m32","CALLL* r/m32","calll* r/m32","FF /2","V","N.E.","","operand32","","Y","32"
"CALL r/m64","CALLQ* r/m64","callq* r/m64","FF /2","N.E.","V","","","","Y","64"
"CALL rel16","CALL rel16","call rel16","E8 cw","V","N.S.","","operand16","r","Y",""
"CALL rel32","CALL rel32","call rel32","E8 cd","V","V","","operand32","r","Y",""
"CALL rel32","CALL rel32","call rel32","E8 cd","N.S.","V","","operand16,operand64","r","Y",""
"CALL_FAR m16:16","LCALLW* m16:16","lcallw* m16:16","FF /3","V","V","","operand16","","Y",""
"CALL_FAR m16:32","LCALLL* m16:32","lcalll* m16:32","FF /3","V","V","","operand32","","Y",""
"CALL_FAR m16:64","LCALLQ* m16:64","lcallq* m16:64","REX.W FF /3","N.E.","V","","","","Y",""
"CALL_FAR ptr16:16","LCALLW ptr16:16","lcallw ptr16:16","9A cd","V","I","","operand16","","Y",""
"CALL_FAR ptr16:32","LCALLL ptr16:32","lcalll ptr16:32","9A cp","V","I","","operand32","","Y",""
"CBW","CBW","cbtw","98","V","V","","operand16","","",""
"CDQ","CDQ","cltd","99","V","V","","operand32","","",""
"CDQE","CDQE","cltq","REX.W 98","N.E.","V","","","","",""
"CLAC","CLAC","clac","NP 0F 01 CA","V","V","SMAP","","","",""
"CLC","CLC","clc","F8","V","V","","","","",""
"CLD","CLD","cld","FC","V","V","","","","",""
"CLDEMOTE m8","CLDEMOTE m8","cldemote m8","NP 0F 1C /0","V","V","CLDEMOTE","","","",""
"CLI","CLI","cli","FA","V","V","","","","",""
"CLRSSBSY m64","CLRSSBSY m64","clrssbsy m64","F3 0F AE /6","V","V","CET_SS","","","",""
"CLTS","CLTS","clts","0F 06","V","V","","","","",""
"CLUI","CLUI","clui","F3 0F 01 EE","I","V","UINTR","","","",""
"CLWB m8","CLWB m8","clwb m8","66 0F AE /6","V","V","CLWB","","","",""
"CMC","CMC","cmc","F5","V","V","","","","",""
"CMOVA r16, r/m16","CMOVWHI r/m16, r16","cmovaw r/m16, r16","0F 47 /r","V","V","","operand16","","Y","16"
"CMOVA r32, r/m32","CMOVLHI r/m32, r32","cmoval r/m32, r32","0F 47 /r","V","V","","operand32","","Y","32"
"CMOVA r64, r/m64","CMOVQHI r/m64, r64","cmovaq r/m64, r64","REX.W 0F 47 /r","N.E.","V","","","","Y","64"
"CMOVAE r16, r/m16","CMOVWCC r/m16, r16","cmovaew r/m16, r16","0F 43 /r","V","V","","operand16","","Y","16"
"CMOVAE r32, r/m32","CMOVLCC r/m32, r32","cmovael r/m32, r32","0F 43 /r","V","V","","operand32","","Y","32"
"CMOVAE r64, r/m64","CMOVQCC r/m64, r64","cmovaeq r/m64, r64","REX.W 0F 43 /r","N.E.","V","","","","Y","64"
"CMOVB r16, r/m16","CMOVWCS r/m16, r16","cmovbw r/m16, r16","0F 42 /r","V","V","","operand16","","Y","16"
"CMOVB r32, r/m32","CMOVLCS r/m32, r32","cmovbl r/m32, r32","0F 42 /r","V","V","","operand32","","Y","32"
"CMOVB r64, r/m64","CMOVQCS r/m64, r64","cmovbq r/m64, r64","REX.W 0F 42 /r","N.E.","V","","","","Y","64"
"CMOVBE r16, r/m16","CMOVWLS r/m16, r16","cmovbew r/m16, r16","0F 46 /r","V","V","","operand16","","Y","16"
"CMOVBE r32, r/m32","CMOVLLS r/m32, r32","cmovbel r/m32, r32","0F 46 /r","V","V","","operand32","","Y","32"
"CMOVBE r64, r/m64","CMOVQLS r/m64, r64","cmovbeq r/m64, r64","REX.W 0F 46 /r","N.E.","V","","","","Y","64"
"CMOVC r16, r/m16","CMOVC r/m16, r16","cmovc r/m16, r16","0F 42 /r","V","V","","operand16,pseudo","","",""
"CMOVC r32, r/m32","CMOVC r/m32, r32","cmovc r/m32, r32","0F 42 /r","V","V","","operand32,pseudo","","",""
"CMOVC r64, r/m64","CMOVC r/m64, r64","cmovc r/m64, r64","REX.W 0F 42 /r","N.E.","V","","pseudo","","",""
"CMOVE r16, r/m16","CMOVWEQ r/m16, r16","cmovew r/m16, r16","0F 44 /r","V","V","","operand16","","Y","16"
